county_name,county_name_state,state
Hamilton,hamilton_ny,ny
Ramsey,ramsey_mn,mn
Wheeler,wheeler_ne,ne
Hamton,hamton_il,il
Mercer,mercer_nj,nj
Shannon  sd,shannon  sd_(discontinued),(discontinued)
Twin falls,twin falls_id,id
Crosby,crosby_tx,tx
Walthall,walthall_ms,ms
Sevier,sevier_ar,ar
Clark,clark_ky,ky
Rock island,rock island_il,il
Brooks,brooks_ga,ga
Manatee,manatee_fl,fl
Jones,jones_tx,tx
Palo pinto,palo pinto_tx,tx
Wayne,wayne_in,in
Hughes,hughes_sd,sd
Haakon,haakon_sd,sd
Jasper,jasper_mo,mo
Effingham,effingham_ga,ga
Oconee,oconee_ga,ga
Shannon,shannon_mo,mo
Horry,horry_sc,sc
Red lake,red lake_mn,mn
Nelson,nelson_va,va
Franklin,franklin_ga,ga
Mineral,mineral_co,co
Mcdowell,mcdowell_nc,nc
Kenosha,kenosha_wi,wi
Vae,vae_nc,nc
Crawford,crawford_ar,ar
Mellette,mellette_sd,sd
Warren,warren_il,il
Twiggs,twiggs_ga,ga
Sheridan,sheridan_mt,mt
Clinton,clinton_ia,ia
Lee,lee_il,il
Craven,craven_nc,nc
Olmsted,olmsted_mn,mn
Cumberland,cumberland_ky,ky
Muhlenberg,muhlenberg_ky,ky
York,york_ne,ne
Swisher,swisher_tx,tx
Esmeralda,esmeralda_nv,nv
Hays,hays_tx,tx
Hidalgo,hidalgo_nm,nm
Saline,saline_ar,ar
Douglas,douglas_ks,ks
Mills,mills_tx,tx
Columbia,columbia_or,or
Leavenworth,leavenworth_ks,ks
Clare,clare_mi,mi
Dorchester,dorchester_md,md
Scott,scott_il,il
Camden,camden_mo,mo
Cass,cass_nd,nd
Spartanburg,spartanburg_sc,sc
Clark,clark_id,id
Macon,macon_il,il
Inyo,inyo_ca,ca
Marquette,marquette_wi,wi
Abbeville,abbeville_sc,sc
Panola,panola_ms,ms
Rutherford,rutherford_tn,tn
Jefferson,jefferson_ok,ok
Maha,maha_ne,ne
Bertie,bertie_nc,nc
Crawford,crawford_mi,mi
New castle,new castle_de,de
Waseca,waseca_mn,mn
Juneau,juneau_wi,wi
Marion,marion_tn,tn
Tioga,tioga_ny,ny
Strafford,strafford_nh,nh
New hanover,new hanover_nc,nc
Amherst,amherst_va,va
Sumter,sumter_ga,ga
Luna,luna_nm,nm
